package,version,dependency,source,detected_license,license_files,license_sha256,package_url
args,2.7.0,transitive,hosted,BSD-3-Clause,LICENSE,dfb09c74e29386cd3e2719f32d4995d59526179753931d31840757c77fbf2791,https://pub.dev/packages/args
async,2.13.1,transitive,hosted,BSD-3-Clause,LICENSE,ff15faa32a2e638107b7789592b14426162a75ba620044ee2340a20ec6ce5e73,https://pub.dev/packages/async
boolean_selector,2.1.2,transitive,hosted,BSD-3-Clause,LICENSE,b71519245009a3b8f126196a5408ec031e216e8e0d985085958c6543f82a8a2a,https://pub.dev/packages/boolean_selector
characters,1.4.1,transitive,hosted,BSD-3-Clause,LICENSE,0371d1da6a57fb791db29d29b95333429205f51f3cb2eb3a0c12d91838a38744,https://pub.dev/packages/characters
clock,1.1.2,transitive,hosted,Apache-2.0,LICENSE,58d1e17ffe5109a7ae296caafcadfdbe6a7d176f0bc4ab01e12a689b0499d8bd,https://pub.dev/packages/clock
code_assets,1.2.1,transitive,hosted,BSD-3-Clause,LICENSE,21ae23b0b9ff67a2dc75ab085d1e8db8ac548c5faf370af17f28dd2ef3b52b7b,https://pub.dev/packages/code_assets
collection,1.19.1,transitive,hosted,BSD-3-Clause,LICENSE,ff15faa32a2e638107b7789592b14426162a75ba620044ee2340a20ec6ce5e73,https://pub.dev/packages/collection
cross_file,0.3.5+4,transitive,hosted,BSD-3-Clause,LICENSE,420f7739f169097f0aad1242045169cd643c8f1d94e62866fad265ae4c369b7d,https://pub.dev/packages/cross_file
crypto,3.0.7,transitive,hosted,BSD-3-Clause,LICENSE,ad6a71997da90924b2cfb1fb47ec46537f70faf469efe016168794ae45ed6888,https://pub.dev/packages/crypto
cupertino_icons,1.0.9,direct main,hosted,MIT,LICENSE,310d6ab6483280280c9db122bded0a63c09558bc5743720f61dbcbb494db370a,https://pub.dev/packages/cupertino_icons
dbus,0.7.14,transitive,hosted,MPL-2.0,LICENSE,1f256ecad192880510e84ad60474eab7589218784b9a50bc7ceee34c2b91f1d5,https://pub.dev/packages/dbus
fake_async,1.3.3,transitive,hosted,Apache-2.0,LICENSE,58d1e17ffe5109a7ae296caafcadfdbe6a7d176f0bc4ab01e12a689b0499d8bd,https://pub.dev/packages/fake_async
ffi,2.2.0,transitive,hosted,BSD-3-Clause,LICENSE,0371d1da6a57fb791db29d29b95333429205f51f3cb2eb3a0c12d91838a38744,https://pub.dev/packages/ffi
file,7.0.1,transitive,hosted,BSD-3-Clause,LICENSE,f6df86b1412172537273e8e80ee2fb8a66aa7307ce0b39ea5ddab47ca41b8c49,https://pub.dev/packages/file
file_picker,10.3.10,direct main,hosted,MIT,LICENSE,6278994817bd65fa32404e53c3a62a09d824d3f9a71f7fadcaca3e4f02641d66,https://pub.dev/packages/file_picker
fixnum,1.1.1,transitive,hosted,BSD-3-Clause,LICENSE,ff0b91d4f3c32b25cb6ec84985e8da89b0ba2a2b2f7eef353cda5e5423a20390,https://pub.dev/packages/fixnum
flutter,0.0.0,direct main,sdk,BSD-3-Clause,LICENSE,a598db94b6290ffbe10b5ecf911057b6a943351c727fdda9e5f2891d68700a20,
flutter_lints,6.0.0,direct dev,hosted,BSD-3-Clause,LICENSE,89519eca6f7b9529b35bdddd623a58c3af06a88c458dbd6531ddb4675acf75a9,https://pub.dev/packages/flutter_lints
flutter_localizations,0.0.0,direct main,sdk,Missing evidence,,,
flutter_plugin_android_lifecycle,2.0.35,transitive,hosted,BSD-3-Clause,LICENSE,420f7739f169097f0aad1242045169cd643c8f1d94e62866fad265ae4c369b7d,https://pub.dev/packages/flutter_plugin_android_lifecycle
flutter_test,0.0.0,direct dev,sdk,Missing evidence,,,
flutter_web_plugins,0.0.0,transitive,sdk,Missing evidence,,,
hive,2.2.3,direct main,hosted,Apache-2.0,LICENSE,343c59f5d64c33a9dad6c7a87d9b4b1c3c6ce628f41b85d9e25ef5f960b8f28e,https://pub.dev/packages/hive
hive_flutter,1.1.0,direct main,hosted,Apache-2.0,LICENSE,713c2e8296afbb21977397e78808b7e1caaf92c64670918403ab8695fb06ee52,https://pub.dev/packages/hive_flutter
hooks,2.0.2,transitive,hosted,BSD-3-Clause,LICENSE,21ae23b0b9ff67a2dc75ab085d1e8db8ac548c5faf370af17f28dd2ef3b52b7b,https://pub.dev/packages/hooks
intl,0.20.2,direct main,hosted,BSD-3-Clause,LICENSE,7e124af6a556f045cb3a20cafbdaa31602ac2c82cbcb3c3b15faaaf514b06028,https://pub.dev/packages/intl
jni,1.0.0,transitive,hosted,BSD-3-Clause,LICENSE,08a004aa8956c3cf3b24f7f69c966247233953e18e6afaa61191ea47b7eb70f6,https://pub.dev/packages/jni
jni_flutter,1.0.1,transitive,hosted,BSD-3-Clause,LICENSE,b1fcb475d67817411f335ac92872507011e574c4cb29cfdaaf7707b75641932c,https://pub.dev/packages/jni_flutter
leak_tracker,11.0.2,transitive,hosted,BSD-3-Clause,LICENSE,08a004aa8956c3cf3b24f7f69c966247233953e18e6afaa61191ea47b7eb70f6,https://pub.dev/packages/leak_tracker
leak_tracker_flutter_testing,3.0.10,transitive,hosted,BSD-3-Clause,LICENSE,08a004aa8956c3cf3b24f7f69c966247233953e18e6afaa61191ea47b7eb70f6,https://pub.dev/packages/leak_tracker_flutter_testing
leak_tracker_testing,3.0.2,transitive,hosted,BSD-3-Clause,LICENSE,08a004aa8956c3cf3b24f7f69c966247233953e18e6afaa61191ea47b7eb70f6,https://pub.dev/packages/leak_tracker_testing
lints,6.1.0,transitive,hosted,BSD-3-Clause,LICENSE,421fe78c3b5df297f8b4ab2c74f2450a274ee6d245a113091f6b9f90570af193,https://pub.dev/packages/lints
logging,1.3.0,transitive,hosted,BSD-3-Clause,LICENSE,dfb09c74e29386cd3e2719f32d4995d59526179753931d31840757c77fbf2791,https://pub.dev/packages/logging
matcher,0.12.19,transitive,hosted,BSD-3-Clause,LICENSE,3c32b53167c7dae9190c38dab5dd9fe1789c53623ebc7d1babcb29914c5b3f16,https://pub.dev/packages/matcher
material_color_utilities,0.13.0,transitive,hosted,Apache-2.0,LICENSE,d103f246ef4c18dab8af0c1dcf6a8af884e5cff554da7261a48ac43c17d98f2e,https://pub.dev/packages/material_color_utilities
meta,1.18.0,transitive,hosted,BSD-3-Clause,LICENSE,b71519245009a3b8f126196a5408ec031e216e8e0d985085958c6543f82a8a2a,https://pub.dev/packages/meta
mime,2.0.0,transitive,hosted,BSD-3-Clause,LICENSE,ff15faa32a2e638107b7789592b14426162a75ba620044ee2340a20ec6ce5e73,https://pub.dev/packages/mime
objective_c,9.4.1,transitive,hosted,BSD-3-Clause,LICENSE,1cda25a8de6880c5338de0b4a06ee89e8537c213eb1379c16a4c035bfd198b5c,https://pub.dev/packages/objective_c
package_config,2.2.0,transitive,hosted,BSD-3-Clause,LICENSE,0371d1da6a57fb791db29d29b95333429205f51f3cb2eb3a0c12d91838a38744,https://pub.dev/packages/package_config
path,1.9.1,transitive,hosted,BSD-3-Clause,LICENSE,3c32b53167c7dae9190c38dab5dd9fe1789c53623ebc7d1babcb29914c5b3f16,https://pub.dev/packages/path
