sha256,file_size_bytes,copy_count,reclaimable_bytes,families,paths
f8eda9414b0c642eb331d60bcedd3efebd10c9525431a3543deca896087ad8df,202549,2,202549,assets/textures/textures_webapp/pokemon_transforms,assets/textures/textures_webapp/pokemon_transforms/gigamax/toxtricity-amped-gmax-shiny.png|assets/textures/textures_webapp/pokemon_transforms/gigamax/toxtricity-low-key-gmax-shiny.png
c549459f8f26845e09d1ebec58f920e4cab2ec14e425e243e06899c00be84726,176482,2,176482,assets/textures/textures_webapp/pokemon_transforms,assets/textures/textures_webapp/pokemon_transforms/gigamax/toxtricity-amped-gmax.png|assets/textures/textures_webapp/pokemon_transforms/gigamax/toxtricity-low-key-gmax.png
969a3586a9997777ba97d6d2854a4fa2c3d025a17320fcd7f22c29e910b05f86,169674,2,169674,assets/textures/textures_webapp/pokemon_transforms,assets/textures/textures_webapp/pokemon_transforms/gigamax/appletun-gmax-shiny.png|assets/textures/textures_webapp/pokemon_transforms/gigamax/flapple-gmax-shiny.png
9c0875c5bd14c2207d545bcc4695c4e783cc9d33d15806b8687f2bff8626e091,109804,2,109804,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/darmanitan-galar-standard/main-shiny.webp|assets/textures/textures_webapp/pokemon/galarian-darmanitan/main-shiny.webp
87f26bc867dba41055884e363a79815020b25f48d1039efd7c1aff3b04c56f44,92919,2,92919,assets/textures/textures_webapp/pokemon_transforms,assets/textures/textures_webapp/pokemon_transforms/mega/meowstic-female-mega-shiny.png|assets/textures/textures_webapp/pokemon_transforms/mega/meowstic-male-mega-shiny.png
6a77103700b3933551d874873e86830eb2c0bcb21a250abd9628d20ff0498a23,87196,2,87196,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/hippowdon/main-m-shiny.webp|assets/textures/textures_webapp/pokemon/hippowdon/main-shiny.webp
18e4a0399b720587818f90ec24c3f73ef25034a0fdc303beb6cce99f8369f43e,87090,2,87090,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/hippowdon/main-m.webp|assets/textures/textures_webapp/pokemon/hippowdon/main.webp
f4c4b3fd2d140a771ccc26187b0a9d93cfcb6c9010667582d08a8b77c9b16267,79966,2,79966,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/hippopotas/main-m.webp|assets/textures/textures_webapp/pokemon/hippopotas/main.webp
c8473ea61176bc9a1b5c567f17287637f0d5e798e4f4349b187d15acc47ddd1a,79758,2,79758,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/pikachu/main-m-shiny.webp|assets/textures/textures_webapp/pokemon/pikachu/main-shiny.webp
c119cce2be774352d262ae423fadbf07b1c77a3a19cb1162127fdd185b2fd697,78708,2,78708,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/hippopotas/main-m-shiny.webp|assets/textures/textures_webapp/pokemon/hippopotas/main-shiny.webp
b34695367d9ac0e996961a4ef24322efb16f62513c1a0438ee28a60a0e348137,75894,2,75894,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/minior-meteor-form/main.webp|assets/textures/textures_webapp/pokemon/minior/main.webp
7839a0497db092ff17b45226f982bd6c6900fa6c5d73025d824214eb454fc015,75668,2,75668,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/wobbuffet/main-m.webp|assets/textures/textures_webapp/pokemon/wobbuffet/main.webp
a2e51200f3bff4598320020c936508ff5a724fd9ffef6b6b02d9b380063574b8,74540,2,74540,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/unfezant/main-m-shiny.webp|assets/textures/textures_webapp/pokemon/unfezant/main-shiny.webp
4ebe231a415d6c298e9569e37a02559483c35a44d152d7573007e3aeaa0e874e,74036,2,74036,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/pikachu/main-m.webp|assets/textures/textures_webapp/pokemon/pikachu/main.webp
