png_path,webp_path,width,height,png_bytes,webp_bytes,saved_bytes,saving_percent,pixel_sha256
assets/textures/textures_webapp/pokemon/abomasnow/main.png,assets/textures/textures_webapp/pokemon/abomasnow/main.webp,475,475,157861,94496,63365,40.14,7b6555af135cefb6d4c241634f00e1b83cb663a8eb1c5dc5d74c31c8d94a92b1
assets/textures/textures_webapp/pokemon/abomasnow/main-shiny.png,assets/textures/textures_webapp/pokemon/abomasnow/main-shiny.webp,475,475,162212,83548,78664,48.49,463959481b8ce486037820558fe019ea35f2e837a985dee2c1075b7759d3c7e9
assets/textures/textures_webapp/pokemon/alolan-rattata/main.png,assets/textures/textures_webapp/pokemon/alolan-rattata/main.webp,475,475,98281,60374,37907,38.57,8250a3418854c0b44f7c3f8b70f434828fa9863838796463bd613c3eeedc6d5b
assets/textures/textures_webapp/pokemon/alolan-rattata/main-shiny.png,assets/textures/textures_webapp/pokemon/alolan-rattata/main-shiny.webp,475,475,124885,74794,50091,40.11,70257ea7545b1a6724e8a912da40e5ac35cf330935a66757a4a2077c871e9a0f
assets/textures/textures_webapp/pokemon/dusk-mane-necrozma/main-shiny.png,assets/textures/textures_webapp/pokemon/dusk-mane-necrozma/main-shiny.webp,475,475,164666,120068,44598,27.08,81f45578b190972d660ca46af902435733ab002c4bb688e110483449eeb0cdfc
assets/textures/textures_webapp/pokemon/bulbasaur/sprite.png,assets/textures/textures_webapp/pokemon/bulbasaur/sprite.webp,96,96,543,478,65,11.97,3c0afc87b8928c1f14f3bd35088c4bae888c09a4e410f6426f32108c1231840c
assets/textures/textures_webapp/pokemon/bulbasaur/sprite-shiny.png,assets/textures/textures_webapp/pokemon/bulbasaur/sprite-shiny.webp,96,96,545,480,65,11.93,5d1d64619dd29075f50a9a5e2f193d69c781364241164f3b6b404552a1913841
assets/textures/textures_webapp/pokemon/indeedee-f/sprite.png,assets/textures/textures_webapp/pokemon/indeedee-f/sprite.webp,96,96,2032,640,1392,68.50,289f3304e774ff656e3e054e63fe1d665c713ff40cc2ece86326f7880c106dd0
assets/textures/textures_webapp/pokemon/meowstic-m/sprite.png,assets/textures/textures_webapp/pokemon/meowstic-m/sprite.webp,96,96,2442,778,1664,68.14,7cbe6af88152a5584017d2597b7a7f84faab5db4cf5b6b9586a0ea0d3960e046
assets/textures/textures_webapp/pokemon/meowstic-m/sprite-shiny.png,assets/textures/textures_webapp/pokemon/meowstic-m/sprite-shiny.webp,96,96,2380,696,1684,70.76,e6932112f930874bfa4b87159f704fbe734e3f97425dc32def4337c5a5e59a3b
assets/textures/textures_webapp/pokemon/alolan-rattata/sprite-shiny.png,assets/textures/textures_webapp/pokemon/alolan-rattata/sprite-shiny.webp,96,96,556,532,24,4.32,93d7b8089f992b8ac88368864cea75b60c8b0eccb65087db46637f6fd48e7c6b
assets/textures/textures_webapp/pokemon/tyrunt/sprite.png,assets/textures/textures_webapp/pokemon/tyrunt/sprite.webp,96,96,2859,866,1993,69.71,5fc1dd32e9f2a9e86375437524551d70d394266d391569c5666be624fc0634ee
